Tv,T,total_sum
1000,1000,4.68556501910427e-34
1000,2000,4.4933312920429523e-23
1000,3000,1.2695848298849083e-18
1000,4000,2.4624178350029265e-16
1000,5000,6.14372944459719e-15
1000,6000,5.399768729432094e-14
1000,7000,2.595763620051254e-13
1000,8000,8.527609002554704e-13
1000,9000,2.1691826275198124e-12
1000,10000,4.607432939251442e-12
2000,1000,1.5699861027356208e-21
2000,2000,4.041957628148477e-21
2000,3000,1.9060767565637607e-18
2000,4000,3.035409920363575e-16
2000,5000,7.197057369091002e-15
2000,6000,6.178514869754899e-14
2000,7000,2.9277364821577466e-13
2000,8000,9.520286404629718e-13
2000,9000,2.402542924145607e-12
2000,10000,5.070157846386909e-12
3000,1000,2.308694213783117e-17
3000,2000,3.871762509136289e-17
3000,3000,8.763364138243043e-17
3000,4000,7.937333607191228e-16
3000,5000,1.1308123941553896e-14
3000,6000,8.373427807382699e-14
3000,7000,3.703355550455952e-13
3000,8000,1.1568273411415325e-12
3000,9000,2.843038742583179e-12
3000,10000,5.887248156635916e-12
4000,1000,2.5832103782644713e-15
4000,2000,4.051662581323651e-15
4000,3000,6.867784803581718e-15
4000,4000,1.265356009426349e-14
4000,5000,3.800535404879054e-14
4000,6000,1.5507820116057217e-13
4000,7000,5.508157854671538e-13
4000,8000,1.553722793716798e-12
4000,9000,3.6045925959390945e-12
4000,10000,7.1933241481914975e-12
5000,1000,4.159696972584079e-14
5000,2000,6.340642781474157e-14
5000,3000,1.0131918215168981e-13
5000,4000,1.512004823925199e-13
5000,5000,2.456290124223681e-13
5000,6000,4.8820965756589e-13
5000,7000,1.1103644405030112e-12
5000,8000,2.488266931907609e-12
5000,9000,5.102996743283213e-12
5000,10000,9.471195616719357e-12
6000,1000,2.55960970644499e-13
6000,2000,3.839864531921296e-13
6000,3000,5.983668504059844e-13
6000,4000,8.428348652399468e-13
6000,5000,1.1776323532395467e-12
6000,6000,1.7501518183324988e-12
6000,7000,2.84323579160432e-12
6000,8000,4.881101807907551e-12
6000,9000,8.380287123345146e-12
6000,10000,1.387645473165469e-11
7000,1000,9.128495597297403e-13
7000,2000,1.3555146719516678e-12
7000,3000,2.083167805461194e-12
7000,4000,2.8597439391875033e-12
7000,5000,3.786209676867435e-12
7000,6000,5.06663219250143e-12
7000,7000,7.039907768483248e-12
7000,8000,1.0175791393501328e-11
7000,9000,1.501944035405511e-11
7000,10000,2.211706373685897e-11
8000,1000,2.3214288135116494e-12
8000,2000,3.4227235034501487e-12
8000,3000,5.213950097494368e-12
8000,4000,7.055119859483619e-12
8000,5000,9.101125395829985e-12
8000,6000,1.1626528893534665e-11
8000,7000,1.5030231561903657e-11
8000,8000,1.9824444220166423e-11
8000,9000,2.6576416040610567e-11
8000,10000,3.583560771629833e-11
9000,1000,4.721042124628506e-12
9000,2000,6.924350755359157e-12
9000,3000,1.0484147470349463e-11
9000,4000,1.4056371316223852e-11
9000,5000,1.7862416238045522e-11
9000,6000,2.2262007049199444e-11
9000,7000,2.7718418152204723e-11
9000,8000,3.4784178976481475e-11
9000,9000,4.404378676272998e-11
9000,10000,5.604484084071637e-11
10000,1000,8.222767556552476e-12
10000,2000,1.201192670929652e-11
10000,3000,1.8106480371905408e-11
10000,4000,2.4121579887806987e-11
10000,5000,3.035648703648659e-11
10000,6000,3.727082036368799e-11
10000,7000,4.53971908204421e-11
10000,8000,5.5327719836784134e-11
10000,9000,6.766134316079558e-11
10000,10000,8.294098324754054e-11
